YearMade,WallType,RoofType,NumOfBedrooms,StovenFuelType,HeatingEquipmentType,HeatingEquipmentAge,NumOfRoomsHeated,FuelUsedForWaterHeating,WaterHeaterSize,AirConditioning,NumOfRoomsCooled,NumOfWindows,TotalSquareHeated,TotalSquareCooled,ElectricityConsumption,HeatingEquipmentAge_num
1960,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,41,2555,2555,11666,12
2003,Concrete,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Large,True,5,30,1286,1286,12851,7
1990,Brick,Composition Shingles,3,Electricity,Heat Pump,2-4 Years old,6,Electricity,Medium,True,6,41,2235,2235,23757,3
1993,Wood,Composition Shingles,3,Electricity,Heat Pump,15-19 Years old,7,Electricity,Medium,True,7,30,1260,1260,13569,17
1949,Siding,Asphalt,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Natural Gas,Large,True,4,41,600,600,10042,12
1956,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,42,2290,2290,14779,12
1990,Siding,Unknown,2,Natural Gas,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Medium,True,6,41,1359,1359,5428,17
1975,Siding,Asphalt,2,Electricity,Heat Pump,>20 Years old,4,Electricity,Small,True,4,30,3680,1680,25800,22
1955,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Medium,True,6,41,3502,1833,11802,12
2005,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Small,True,4,30,997,997,7450,7
1965,Stucco,Unknown,2,Electricity,Central Warm-Air Furnace,2-4 Years old,4,Electricity,Medium,True,4,30,850,850,5380,3
1977,Brick,Asphalt,4,-,Heat Pump,<2 Years old,8,Electricity,Large,True,8,41,2806,2806,15167,1
2005,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Medium,True,6,41,1863,1863,19218,7
1998,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Large,True,6,41,1716,1716,15969,7
1985,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,4,Natural Gas,Medium,True,3,41,1062,797,6595,22
1950,Brick,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Small,True,6,41,1864,1864,4028,7
1974,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Medium,True,2,30,3238,935,8526,7
1962,Wood,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,<2 Years old,6,Natural Gas,Medium,True,6,41,963,963,6781,1
1960,Siding,Unknown,3,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Electricity,Medium,True,6,30,1656,1656,9956,12
1958,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,<2 Years old,7,Natural Gas,Medium,True,7,42,2744,1829,8520,1
1989,Wood,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Electricity,Medium,True,4,50,1411,1411,9002,7
2005,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Medium,True,6,42,1568,1568,20893,7
1959,Stucco,Composition Shingles,3,-,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Large,True,4,41,1530,1020,4050,22
1966,Stucco,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,>20 Years old,7,Electricity,Medium,True,7,41,2016,2016,15944,22
2005,Siding,Composition Shingles,3,Electricity,Heat Pump,2-4 Years old,6,Electricity,Medium,True,6,30,2302,2302,14869,3
1976,Brick,Composition Shingles,2,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Small,True,6,30,2432,2432,8807,7
1996,Siding,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,10-14 Years old,4,Natural Gas,Large,True,4,41,2835,2190,4182,12
1972,Brick,Composition Shingles,2,Electricity,Central Warm-Air Furnace,15-19 Years old,5,Electricity,Medium,True,5,41,1872,1872,19243,17
1989,Brick,Composition Shingles,4,Electricity,Central Warm-Air Furnace,10-14 Years old,8,Natural Gas,Large,True,6,41,1705,848,13438,12
1975,Stucco,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,20,1490,1490,7748,22
1980,Siding,Composition Shingles,4,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,42,1271,1271,7776,12
1996,Siding,Metal,3,Electricity,Central Warm-Air Furnace,10-14 Years old,3,Electricity,Medium,True,5,41,638,1064,8779,12
1962,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,2-4 Years old,7,Natural Gas,Medium,True,7,41,2223,2223,10037,3
1950,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Medium,True,6,41,1845,1845,10761,17
1980,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Large,True,6,41,980,980,28935,7
1970,Stucco,Unknown,2,Electricity,Central Warm-Air Furnace,5-9 Years old,4,Electricity,Small,True,4,20,1004,1004,4773,7
1971,Brick,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,2-4 Years old,8,Natural Gas,Medium,True,8,30,2440,2440,25907,3
1978,Wood,Unknown,2,Electricity,Central Warm-Air Furnace,>20 Years old,5,Electricity,Medium,True,5,20,998,998,15497,22
1979,Wood,Composition Shingles,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Natural Gas,Small,True,4,30,2028,1620,7407,12
1985,Siding,Composition Shingles,2,Electricity,Heat Pump,>20 Years old,5,Electricity,Medium,True,5,30,1641,1641,10242,22
2005,Brick,Metal,2,Electricity,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Small,True,4,30,1525,1525,4471,7
2000,Brick,Unknown,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Electricity,Medium,True,7,30,1194,1194,11397,12
2002,Concrete,Composition Shingles,4,Natural Gas,Heat Pump,5-9 Years old,6,Natural Gas,Small,True,3,41,2560,1280,9106,7
1950,Brick,Asphalt,4,Natural Gas,Central Warm-Air Furnace,>20 Years old,9,Natural Gas,Medium,True,7,41,2627,2236,9916,22
1968,Stucco,Composition Shingles,4,-,Central Warm-Air Furnace,5-9 Years old,7,Natural Gas,Medium,True,7,41,2035,2035,8892,7
1950,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,2-4 Years old,5,Natural Gas,Medium,True,5,30,1050,1050,11897,3
1970,Siding,Metal,3,Electricity,Central Warm-Air Furnace,10-14 Years old,2,Electricity,Large,True,2,30,413,413,14768,12
1965,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,41,936,936,7425,22
1960,Brick,Wood Shingles,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,30,1104,1104,14835,7
1992,Brick,Asphalt,2,Electricity,Heat Pump,15-19 Years old,7,Electricity,Medium,True,7,41,2200,2200,19271,17
1962,Siding,Metal,3,Electricity,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Medium,True,4,41,1542,1079,10019,7
1960,Brick,Composition Shingles,4,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Medium,True,7,41,3009,3009,15370,12
2005,Brick,Unknown,2,Electricity,Central Warm-Air Furnace,2-4 Years old,5,Electricity,Large,True,5,42,700,700,4119,3
1977,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,6,Electricity,Large,True,6,41,1777,1777,23453,22
1989,Stucco,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Electricity,Medium,True,7,41,2028,2028,18779,12
1986,Siding,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,<2 Years old,5,Electricity,Medium,True,5,41,1370,1370,10910,1
1997,Siding,Wood Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Electricity,Large,True,6,41,1920,1920,25087,12
1978,Stucco,Composition Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,8,Electricity,Large,True,8,41,1354,1354,20666,3
1970,Brick,Unknown,2,Electricity,Central Warm-Air Furnace,>20 Years old,5,Electricity,Small,True,6,20,1134,1361,11158,22
2004,Concrete,Composition Shingles,4,Electricity,Central Warm-Air Furnace,2-4 Years old,8,Electricity,Medium,True,8,30,2760,2760,11765,3
1976,Brick,Composition Shingles,3,-,Central Warm-Air Furnace,2-4 Years old,7,Natural Gas,Large,True,7,50,1589,1589,16980,3
1985,Siding,Composition Shingles,2,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,30,1212,1212,4278,22
1976,Brick,Composition Shingles,4,Electricity,Central Warm-Air Furnace,2-4 Years old,8,Natural Gas,Medium,True,8,42,2387,2387,3070,3
1955,Brick,Composition Shingles,4,Electricity,Heat Pump,5-9 Years old,8,Electricity,Large,True,8,42,3506,3506,21335,7
1978,Brick,Unknown,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Electricity,Medium,True,4,20,854,854,5196,12
1979,Stucco,Asphalt,4,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,30,2349,2349,7525,22
2004,Brick,Unknown,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Large,True,5,20,1169,1169,18089,7
1942,Brick,Wood Shingles,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Electricity,Medium,True,4,30,1224,1224,15684,7
1976,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,<2 Years old,6,Natural Gas,Medium,True,6,20,1472,1472,8104,1
1986,Stucco,Wood Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,5,Natural Gas,Medium,True,5,30,1132,1132,8106,3
1990,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Small,True,5,41,1307,1307,5826,22
1988,Siding,Composition Shingles,3,Electricity,Heat Pump,>20 Years old,6,Electricity,Medium,True,6,30,1605,1605,10985,22
1970,Wood,Composition Shingles,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Electricity,Large,True,4,41,1247,1247,11033,12
1950,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,2-4 Years old,6,Natural Gas,Medium,True,6,41,1255,1255,7896,3
1961,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Medium,True,5,41,1190,1190,9713,7
1997,Siding,Asphalt,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,30,1216,1216,11986,12
2001,Siding,Composition Shingles,3,Electricity,Heat Pump,5-9 Years old,7,Electricity,Medium,True,7,41,2122,2122,21321,7
1970,Brick,Composition Shingles,4,-,Central Warm-Air Furnace,2-4 Years old,8,Natural Gas,Small,True,8,41,1738,1738,13656,3
1940,Siding,Asphalt,4,Electricity,Central Warm-Air Furnace,<2 Years old,8,Electricity,Medium,True,7,41,1810,1584,18869,1
1955,Siding,Composition Shingles,3,Electricity,Heat Pump,<2 Years old,5,Electricity,Small,True,5,41,988,988,13160,1
1985,Stucco,Wood Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,5,Natural Gas,Medium,True,5,30,1224,1224,11295,3
1960,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,2-4 Years old,6,Natural Gas,Medium,True,6,30,1200,1200,10167,3
1957,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,<2 Years old,7,Electricity,Large,True,7,50,1683,1683,13789,1
1971,Siding,Metal,3,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,41,1152,1152,16246,12
1941,Brick,Asphalt,2,Natural Gas,Heat Pump,5-9 Years old,7,Natural Gas,Medium,True,7,50,1458,1458,3750,7
1970,Stucco,Unknown,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Large,True,5,41,1365,1365,8426,7
1979,Wood,Wood Shingles,3,Electricity,Heat Pump,2-4 Years old,6,Electricity,Medium,True,6,50,1260,1260,18893,3
1997,Brick,Unknown,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Medium,True,5,42,1017,1017,3306,7
2005,Concrete,Asphalt,4,Electricity,Heat Pump,5-9 Years old,8,Electricity,Medium,True,8,41,3450,3450,22076,7
1963,Siding,Composition Shingles,4,-,Central Warm-Air Furnace,5-9 Years old,8,Natural Gas,Medium,True,8,50,3761,3400,6959,7
1967,Siding,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,5-9 Years old,8,Natural Gas,Medium,True,8,30,2374,2374,13663,7
1997,Stucco,Unknown,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,1,Natural Gas,Small,True,4,20,229,915,6621,7
1989,Siding,Composition Shingles,3,Electricity,Heat Pump,10-14 Years old,5,Electricity,Large,True,5,30,3360,3360,21234,12
1989,Wood,Unknown,2,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Natural Gas,Small,True,5,20,722,722,3354,12
1968,Wood,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Large,True,6,50,1469,1469,5133,7
1946,Wood,Asphalt,4,Electricity,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Large,True,6,50,1470,1470,12995,22
1932,Siding,Wood Shingles,4,Natural Gas,Central Warm-Air Furnace,2-4 Years old,8,Natural Gas,Medium,True,8,30,1046,1046,10311,3
1982,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,8,Natural Gas,Medium,True,8,30,3020,3020,9093,22
1980,Wood,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Large,True,5,20,1783,1783,13645,22
1979,Wood,Asphalt,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Medium,True,6,41,2496,2496,7823,22
1972,Brick,Unknown,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Large,True,4,30,1069,1069,4529,7
2005,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,6,Electricity,Medium,True,6,30,1296,1296,9129,3
1960,Brick,Unknown,2,Natural Gas,Central Warm-Air Furnace,>20 Years old,3,Natural Gas,Large,True,3,30,684,684,8397,22
2002,Siding,Wood Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Large,True,6,30,2636,2636,8890,7
1999,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,6,Electricity,Small,True,6,20,1422,1422,14625,17
1978,Siding,Asphalt,2,-,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Small,True,5,41,1037,1037,6198,12
1972,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,30,1576,1576,10558,12
1980,Siding,Unknown,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Medium,True,6,30,1616,1616,13086,7
1956,Siding,Composition Shingles,4,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,41,830,830,11297,12
2005,Wood,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Medium,True,4,41,850,850,9054,7
1975,Wood,Unknown,2,Natural Gas,Central Warm-Air Furnace,2-4 Years old,4,Natural Gas,Medium,True,4,20,788,788,8305,3
1980,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,6,Electricity,Medium,True,6,41,1600,1600,17383,17
1950,Siding,Metal,2,Electricity,Heat Pump,2-4 Years old,5,Electricity,Small,True,5,30,2386,2386,24212,3
1954,Stucco,Wood Shingles,3,Natural Gas,Heat Pump,>20 Years old,6,Natural Gas,Large,True,5,30,1328,1328,11230,22
1997,Siding,Composition Shingles,3,Electricity,Heat Pump,10-14 Years old,4,Electricity,Large,True,4,41,2819,1717,23275,12
1960,Wood,Wood Shingles,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,8,Natural Gas,Large,True,8,41,2704,2704,10488,7
1965,Siding,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,4,41,1106,858,5957,22
1964,Brick,Asphalt,3,Electricity,Central Warm-Air Furnace,>20 Years old,7,Natural Gas,Large,True,7,41,2160,2160,9429,22
1985,Brick,Composition Shingles,3,Electricity,Heat Pump,>20 Years old,5,Electricity,Small,True,5,41,672,672,11137,22
1986,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,30,2150,2150,13873,12
1921,Siding,Asphalt,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,30,1298,1298,8187,7
1970,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Large,True,6,41,2061,2061,16172,7
1980,Brick,Unknown,3,Electricity,Central Warm-Air Furnace,>20 Years old,5,Electricity,Medium,True,5,20,1055,1055,11254,22
1997,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Medium,True,6,41,2148,2148,9398,17
1946,Stucco,Composition Shingles,4,-,Central Warm-Air Furnace,>20 Years old,8,Natural Gas,Large,True,8,50,2750,2750,15552,22
1980,Wood,Wood Shingles,3,Electricity,Heat Pump,<2 Years old,6,Electricity,Medium,True,6,50,1600,1600,14706,1
1950,Siding,Asphalt,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,41,2304,2054,5321,12
2005,Stucco,Composition Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,7,Electricity,Large,True,7,41,2840,2840,13031,3
1996,Siding,Composition Shingles,3,-,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Medium,True,7,41,2209,2209,14996,12
1969,Brick,Composition Shingles,3,-,Central Warm-Air Furnace,10-14 Years old,8,Natural Gas,Large,True,8,42,1560,1560,20500,12
1992,Brick,Composition Shingles,3,-,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Medium,True,6,41,1780,1780,13531,17
1972,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,<2 Years old,6,Electricity,Medium,True,6,41,1596,1596,15762,1
1960,Siding,Wood Shingles,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,7,Natural Gas,Medium,True,7,30,1022,1022,5513,22
1986,Brick,Composition Shingles,3,Electricity,Heat Pump,2-4 Years old,7,Electricity,Medium,True,7,42,1656,1656,13502,3
1960,Brick,Composition Shingles,4,Electricity,Central Warm-Air Furnace,2-4 Years old,7,Natural Gas,Medium,True,7,41,2060,1010,15589,3
1975,Stucco,Composition Shingles,2,Electricity,Central Warm-Air Furnace,>20 Years old,4,Natural Gas,Medium,True,4,42,1250,1250,5751,22
1950,Brick,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,41,1497,1510,10226,22
1975,Stucco,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Large,True,7,41,2360,2360,14017,12
1992,Siding,Wood Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Small,True,5,41,1280,1280,22261,12
1984,Stucco,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,2,Electricity,Medium,True,3,41,823,1234,10682,22
1999,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Medium,True,7,42,2754,2754,15923,12
1930,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,30,829,829,8587,12
2005,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,6,Electricity,Large,True,6,30,2152,2152,6988,3
1987,Siding,Composition Shingles,3,Electricity,Heat Pump,5-9 Years old,4,Electricity,Medium,True,4,30,1237,1237,14345,7
1997,Concrete,Wood Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,41,1275,1275,16092,12
1995,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,30,1138,1138,12557,12
1968,Wood,Composition Shingles,2,Electricity,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Medium,True,4,20,1472,1472,5846,7
1987,Siding,Composition Shingles,3,Electricity,Heat Pump,>20 Years old,6,Electricity,Large,True,6,41,1649,1649,10602,22
2005,Siding,Asphalt,2,Electricity,Heat Pump,5-9 Years old,4,Electricity,Medium,True,4,30,1440,1440,10199,7
1974,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,7,Natural Gas,Medium,True,7,41,3480,3480,12139,22
1975,Wood,Unknown,2,Electricity,Central Warm-Air Furnace,<2 Years old,4,Natural Gas,Small,True,4,50,884,884,4365,1
1927,Wood,Asphalt,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,41,1044,1044,10409,7
1978,Siding,Metal,2,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Small,True,5,30,816,816,4407,22
1999,Siding,Metal,3,Electricity,Central Warm-Air Furnace,10-14 Years old,5,Electricity,Medium,True,5,41,1280,1280,4798,12
